state,district,taluk,village
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kummarivalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kunapuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Lanjilaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Laxmipuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Laxmipuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Liddangi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Limbaguda @ Nimmada
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Lungaparti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Maddigaruvu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Maddipadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Madrebu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Makanapalle
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Malingavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Malipadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mallampeta
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mandaparti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mandruvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mangagumma
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mardaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Marrimanuvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Marrivalasa @ Manuvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Medaparti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mettavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mettavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mirithidungada
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mondijanguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Moolapatnam
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mulyaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Muvvamvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nadimivalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nakkalamamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nandanapuram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nandigummi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nandiguni
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nandikota
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nandulavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nelapalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nerellavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nimmalapadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nimmavuta
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Ninnimamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nisaniguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nunemamid
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Onikannela
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Onukonda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Palabandavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pallamvanivalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Panasamanuvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pandirimamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pandirimamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pandirimamidivalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Patakota
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Patipalle
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Patti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedabayalu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedabayalu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedabidda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Peda Buruga-I
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedaburugu II
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedagangavaram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedakonela
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedakota
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Peda Rabha
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedduru
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedduru
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pempuduvalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Penamarti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pinakota
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Poderti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pooluguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pooluguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pooluguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Porlu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Porlubanda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pulusumamidi
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Purulabanda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Putikaputtu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pynampadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rachakilam
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rajupaka
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rallagaruvu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rampalle
